Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -44, 0.14112623248547898, 920.4, 3, 0
E200 470F C1A0 6023 A8E6 010F, -43, 4.325825821837508, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -44.5, 0.23316507975861744, 920.4, 3, 1
E200 470F C1A0 6023 A8E6 010F, -43, 4.405592822807561, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -44, 0.2761165418194154, 920.4, 3, 2
E200 470F C1A0 6023 A8E6 010F, -43, 4.405592822807561, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -44.5, 0.37429131224409645, 920.4, 3, 3
E200 470F C1A0 6023 A8E6 010F, -43, 4.448544284868359, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -44, 0.4111068511533518, 920.4, 3, 4
E200 470F C1A0 6023 A8E6 010F, -43, 4.466952054322987, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -44, 0.5092816215780329, 920.4, 3, 5
E200 470F C1A0 6023 A8E6 010F, -43, 4.473087977474529, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -44, 0.4295146206079795, 920.4, 3, 6
E200 470F C1A0 6023 A8E6 010F, -43, 4.509903516383785, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -44, 0.5890486225480862, 920.4, 3, 7
E200 470F C1A0 6023 A8E6 010F, -43, 4.546719055293041, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -44, 0.44178646691106466, 920.4, 3, 8
E200 470F C1A0 6023 A8E6 010F, -43, 4.466952054322987, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -44, 0.5338253141842031, 920.4, 3, 9
E200 470F C1A0 6023 A8E6 010F, -43, 4.540583132141498, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -44, 0.5951845456996288, 920.4, 3, 10
E200 470F C1A0 6023 A8E6 010F, -43, 4.534447208989955, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -43.5, 0.2270291566070749, 920.4, 3, 11
E200 470F C1A0 6023 A8E6 010F, -43, 4.528311285838413, 920.4, 4, 11
