Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
9990 1912 9990 9990 9990 0125, -60.5, 1.41126232485479, 920.4, 6, 2022/12/19 18:19:21
2200 0000 42C4 0644 0010 0001, -64, 1.5953400194010667, 920.4, 4, 2022/12/19 18:19:21
5538 0000 4180 0440 0034 0007, -72, 5.491651220630596, 920.4, 4, 2022/12/19 18:19:21
5538 0000 4180 0400 0034 000B, -67, 3.9638063558964967, 920.4, 4, 2022/12/19 18:19:21
2200 0004 A7E0 6014 04E6 376A, -65, 4.295146206079795, 920.4, 4, 2022/12/19 18:19:21
2020 43CB 43A1 E88A 543D 29C9, -61.5, 1.7671458676442586, 920.4, 4, 2022/12/19 18:19:21
9990 1912 9990 9990 9990 0113, -58, 5.982525072754001, 920.4, 4, 2022/12/19 18:19:21
9990 1912 9990 9990 9990 0107, -55, 1.086058397823034, 920.4, 4, 2022/12/19 18:19:21
5538 0000 4180 0400 0034 0007, -65.5, 1.8162332528565992, 920.4, 4, 2022/12/19 18:19:21
2200 4444 B4D0 6014 04E6 3739, -64, 2.6323110320117604, 920.4, 4, 2022/12/19 18:19:21
2200 4444 A450 6014 04E6 3731, -57, 5.681864838328415, 920.4, 4, 2022/12/19 18:19:21
2200 4444 A450 6014 04E6 3731, -60.5, 2.724349879284899, 920.4, 6, 2022/12/19 18:19:21
7B49, -67, 6.135923151542564, 920.4, 4, 2022/12/19 18:19:21
2200 43CB 43A1 D68A 543D 2981, -61, 5.8475347634200645, 920.4, 1, 2022/12/19 18:19:20
2200 43CB 43A1 D68A 543D 2981, -71.5, 2.1659808724945253, 920.4, 4, 2022/12/19 18:19:21
2200 43CB 43A1 E48A 543D 29B9, -68.5, 6.160466844148735, 920.4, 1, 2022/12/19 18:19:20
2200 43CB 43A1 E48A 543D 29B9, -65.5, 1.2762720155208536, 920.4, 4, 2022/12/19 18:19:21
5538 0000 4180 0440 0034 0004, -71.5, 0.37429131224409645, 920.4, 1, 2022/12/19 18:19:20
2020 0000 4000 0000 0000 0012, -62, 2.442097414313941, 920.4, 1, 2022/12/19 18:19:20
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.067806102069844, 920.4, 1, 2022/12/19 18:19:20
2200 43CB 43A1 CD8A 543D 295D, -65.5, 0.7547185476397354, 920.4, 4, 2022/12/19 18:19:21
2020 43CB 43A2 198A 543D 2A8D, -51.5, 4.865787059173254, 920.4, 1, 2022/12/19 18:19:20
