Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9145634969827183, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -51, 2.116893487282185, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9145634969827183, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -52, 2.1046216409791, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9206994201342606, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -52, 2.110757564130642, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9145634969827183, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.12916533358527, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -45, 2.9206994201342606, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.1537090261914402, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9329712664373457, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.1230294104337273, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9206994201342606, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.116893487282185, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9268353432858034, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.116893487282185, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9391071895888885, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -52, 2.1598449493429825, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9575149590435164, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.116893487282185, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9513790358919736, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -51, 2.110757564130642, 920.4, 6, 10
E200 470F C1A0 6023 A8E6 010F, -45.5, 2.9513790358919736, 920.4, 4, 11
E200 470F C1A0 6023 A8E6 010F, -51.5, 2.1230294104337273, 920.4, 6, 11
