Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -52.5, 3.834951969714103, 920.4, 1, 1
E200 470F C1A0 6023 A8E6 010F, -50, 1.8960002538266525, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -49, 2.466641106920111, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -52.5, 4.025165587411922, 920.4, 1, 2
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.0064468705544187, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.6139032625571326, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -52, 4.037437433715008, 920.4, 1, 3
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.1353012567368124, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.8286605728611223, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -52, 4.006757817957295, 920.4, 1, 4
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.12916533358527, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.9022916506796332, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -51.5, 3.8717675086233583, 920.4, 1, 5
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.0371264863121317, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -49, 2.730485802436441, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -52.5, 3.724505352986337, 920.4, 1, 6
E200 470F C1A0 6023 A8E6 010F, -49.5, 1.9266798695843652, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -49, 2.521864415283994, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -52.5, 3.8533597391687304, 920.4, 1, 7
E200 470F C1A0 6023 A8E6 010F, -49.5, 1.9634954084936207, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -49, 2.5464081078901644, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -51.5, 4.184699589352029, 920.4, 1, 8
E200 470F C1A0 6023 A8E6 010F, -49.5, 2.2641556429192065, 920.4, 4, 8
