Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -49, 3.9147189706841563, 920.4, 1, 0
E200 470F C1A0 6023 A8E6 010F, -41.5, 0.1349903093339364, 920.4, 2, 0
E200 470F C1A0 6023 A8E6 010F, -50, 3.2397674240144743, 920.4, 1, 1
E200 470F C1A0 6023 A8E6 010F, -39, 0.37429131224409645, 920.4, 2, 1
E200 470F C1A0 6023 A8E6 010F, -50, 2.9759227284981438, 920.4, 1, 2
E200 470F C1A0 6023 A8E6 010F, -40, 0.30679615757712825, 920.4, 2, 2
E200 470F C1A0 6023 A8E6 010F, -49.5, 3.9515345095934116, 920.4, 1, 3
E200 470F C1A0 6023 A8E6 010F, -39.5, 0.3313398501832985, 920.4, 2, 3
E200 470F C1A0 6023 A8E6 010F, -50.5, 2.3439226438892597, 920.4, 1, 4
E200 470F C1A0 6023 A8E6 010F, -39, 0.3374757733348411, 920.4, 2, 4
E200 470F C1A0 6023 A8E6 010F, -48, 4.166291819897402, 920.4, 1, 5
E200 470F C1A0 6023 A8E6 010F, -40, 0.2454369260617026, 920.4, 2, 5
E200 470F C1A0 6023 A8E6 010F, -50.5, 2.3009711818284617, 920.4, 1, 6
E200 470F C1A0 6023 A8E6 010F, -38.5, 0.3313398501832985, 920.4, 2, 6
E200 470F C1A0 6023 A8E6 010F, -49, 4.037437433715008, 920.4, 1, 7
E200 470F C1A0 6023 A8E6 010F, -41, 0.16566992509164924, 920.4, 2, 7
E200 470F C1A0 6023 A8E6 010F, -50.5, 2.8102528034064944, 920.4, 1, 8
E200 470F C1A0 6023 A8E6 010F, -39, 0.3374757733348411, 920.4, 2, 8
E200 470F C1A0 6023 A8E6 010F, -49.5, 3.448388811166921, 920.4, 1, 9
E200 470F C1A0 6023 A8E6 010F, -40.5, 0.23316507975861744, 920.4, 2, 9
E200 470F C1A0 6023 A8E6 010F, -49.5, 3.479068426924634, 920.4, 1, 10
E200 470F C1A0 6023 A8E6 010F, -39, 0.36815538909255385, 920.4, 2, 10
E200 470F C1A0 6023 A8E6 010F, -50, 2.791845033951867, 920.4, 1, 11
E200 470F C1A0 6023 A8E6 010F, -39.5, 0.3313398501832985, 920.4, 2, 11
E200 470F C1A0 6023 A8E6 010F, -49.5, 3.933126740138784, 920.4, 1, 12
E200 470F C1A0 6023 A8E6 010F, -40, 0.28838838812250056, 920.4, 2, 12
E200 470F C1A0 6023 A8E6 010F, -50, 2.466641106920111, 920.4, 1, 13
E200 470F C1A0 6023 A8E6 010F, -39, 0.34974761963792617, 920.4, 2, 13
E200 470F C1A0 6023 A8E6 010F, -49, 4.000621894805752, 920.4, 1, 14
E200 470F C1A0 6023 A8E6 010F, -40.5, 0.22089323345553233, 920.4, 2, 14
E200 470F C1A0 6023 A8E6 010F, -50.5, 2.5893595699509624, 920.4, 1, 15
E200 470F C1A0 6023 A8E6 010F, -39, 0.3374757733348411, 920.4, 2, 15
E200 470F C1A0 6023 A8E6 010F, -49, 3.767456815047135, 920.4, 1, 16
E200 470F C1A0 6023 A8E6 010F, -41, 0.1902136176978195, 920.4, 2, 16
E200 470F C1A0 6023 A8E6 010F, -50, 3.0127382674073995, 920.4, 1, 17
E200 470F C1A0 6023 A8E6 010F, -39, 0.35588354278946877, 920.4, 2, 17
E200 470F C1A0 6023 A8E6 010F, -49.5, 3.2765829629237295, 920.4, 1, 18
E200 470F C1A0 6023 A8E6 010F, -40.5, 0.2638446955163303, 920.4, 2, 18
E200 470F C1A0 6023 A8E6 010F, -49.5, 3.485204350076177, 920.4, 1, 19
E200 470F C1A0 6023 A8E6 010F, -39.5, 0.3374757733348411, 920.4, 2, 19
E200 470F C1A0 6023 A8E6 010F, -50, 2.7550294950426117, 920.4, 1, 20
E200 470F C1A0 6023 A8E6 010F, -39.5, 0.32520392703175593, 920.4, 2, 20
E200 470F C1A0 6023 A8E6 010F, -49, 3.8840393549264434, 920.4, 1, 21
E200 470F C1A0 6023 A8E6 010F, -40, 0.2699806186678728, 920.4, 2, 21
E200 470F C1A0 6023 A8E6 010F, -50, 2.5832236467994196, 920.4, 1, 22
E200 470F C1A0 6023 A8E6 010F, -39, 0.3436116964863836, 920.4, 2, 22
E200 470F C1A0 6023 A8E6 010F, -49, 3.8840393549264434, 920.4, 1, 23
E200 470F C1A0 6023 A8E6 010F, -40.5, 0.2270291566070749, 920.4, 2, 23
E200 470F C1A0 6023 A8E6 010F, -50, 2.724349879284899, 920.4, 1, 24
E200 470F C1A0 6023 A8E6 010F, -39, 0.34974761963792617, 920.4, 2, 24
E200 470F C1A0 6023 A8E6 010F, -49, 3.6017868899554855, 920.4, 1, 25
E200 470F C1A0 6023 A8E6 010F, -40.5, 0.23316507975861744, 920.4, 2, 25
E200 470F C1A0 6023 A8E6 010F, -50.5, 3.0250101137104846, 920.4, 1, 26
E200 470F C1A0 6023 A8E6 010F, -39, 0.35588354278946877, 920.4, 2, 26
E200 470F C1A0 6023 A8E6 010F, -50.5, 3.1906800388021335, 920.4, 1, 27
E200 470F C1A0 6023 A8E6 010F, -40, 0.28225246497095796, 920.4, 2, 27
E200 470F C1A0 6023 A8E6 010F, -49, 3.5158839658338894, 920.4, 1, 28
E200 470F C1A0 6023 A8E6 010F, -39.5, 0.3313398501832985, 920.4, 2, 28
E200 470F C1A0 6023 A8E6 010F, -50.5, 2.779573187648782, 920.4, 1, 29
E200 470F C1A0 6023 A8E6 010F, -39.5, 0.3313398501832985, 920.4, 2, 29
E200 470F C1A0 6023 A8E6 010F, -49, 3.792000507653305, 920.4, 1, 30
E200 470F C1A0 6023 A8E6 010F, -40, 0.25157284921324513, 920.4, 2, 30
E200 470F C1A0 6023 A8E6 010F, -50, 2.6813984172241008, 920.4, 1, 31
E200 470F C1A0 6023 A8E6 010F, -39, 0.3436116964863836, 920.4, 2, 31
E200 470F C1A0 6023 A8E6 010F, -49, 3.736777199289422, 920.4, 1, 32
