Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -58.5, 3.9515345095934116, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.000310947402876, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -58.5, 4.0987966652304335, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.2518837966161214, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -58, 4.031301510563465, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -60, 2.0800779483729293, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -58, 4.154019973594316, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -59, 2.2027964114037806, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -58.5, 4.135612204139688, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.2580197197676637, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -59.5, 3.9515345095934116, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -60, 2.1905245651006955, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -59.5, 3.834951969714103, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -60, 2.1230294104337273, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -59, 3.9760782021995817, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.1905245651006955, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -59, 4.086524818927348, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.2948352586769194, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -59, 4.0987966652304335, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.1966604882522383, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -58, 4.166291819897402, 920.4, 6, 10
E200 470F C1A0 6023 A8E6 010F, -59.5, 2.386874105950058, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -56, 0.2086213871524472, 920.4, 6, 11
E200 470F C1A0 6023 A8E6 010F, -55, 3.147728576741336, 920.4, 4, 11
