Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -46.5, 0.2270291566070749, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -47.5, 5.522330836388308, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -46.5, 0.2086213871524472, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -47, 5.546874528994478, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -47, 0.21475731030398976, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -47.5, 5.546874528994478, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -47, 0.17794177139473438, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -47.5, 5.516194913236766, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -46.5, 0.17794177139473438, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -47.5, 5.534602682691394, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -46.5, 0.1902136176978195, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -47, 5.540738605842936, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -47, 0.22089323345553233, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -47.5, 5.5100589900852235, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -46.5, 0.19634954084936207, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -47.5, 5.534602682691394, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -47, 0.1595340019401067, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -48, 5.50392306693368, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -47, 0.17794177139473438, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -48, 5.516194913236766, 920.4, 6, 9
