Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
5538 0000 4180 0400 0034 000B, -70, 4.516039439535327, 920.4, 6, 2022/12/19 19:31:36
9990 1912 9990 9990 9990 0137, -66, 2.816388726558037, 920.4, 6, 2022/12/19 19:31:36
9990 1912 9990 9990 9990 0125, -58.5, 0.8222137023067037, 920.4, 6, 2022/12/19 19:31:36
9990 1912 9990 9990 9990 0113, -64.5, 5.939573610693203, 920.4, 4, 2022/12/19 19:31:36
7B49, -71.5, 0.662679700366597, 920.4, 4, 2022/12/19 19:31:36
2200 43CB 43A1 DF8A 543D 29A5, -59.5, 4.074252972624263, 920.4, 4, 2022/12/19 19:31:35
5598 0000 4004 0004 000C 0001, -56.5, 5.166447293598839, 920.4, 4, 2022/12/19 19:31:36
9990 1912 9990 9990 9990 0107, -58, 6.209554229361076, 920.4, 4, 2022/12/19 19:31:36
2200 4444 B4D0 6014 04E6 3739, -64, 1.7671458676442586, 920.4, 4, 2022/12/19 19:31:35
2200 4444 A450 6014 04E6 3731, -58.5, 0.3129320807286708, 920.4, 4, 2022/12/19 19:31:35
2200 4444 A450 6014 04E6 3731, -62.5, 3.1661363461959633, 920.4, 6, 2022/12/19 19:31:36
5538 0000 4180 0400 0034 0007, -64, 3.1968159619536762, 920.4, 4, 2022/12/19 19:31:35
2200 0000 42C4 0644 0010 0001, -58.5, 2.000310947402876, 920.4, 4, 2022/12/19 19:31:36
2200 43CB 43A1 E48A 543D 29B9, -66, 0.9572040116406401, 920.4, 1, 2022/12/19 19:31:35
2020 43CB 43A1 E38A 543D 29B5, -68.5, 6.000932842208628, 920.4, 1, 2022/12/19 19:31:35
2020 43CB 43A1 E38A 543D 29B5, -65.5, 5.436427912266712, 920.4, 4, 2022/12/19 19:31:35
2200 43CB 43A1 CD8A 543D 295D, -62, 2.350058567040802, 920.4, 1, 2022/12/19 19:31:35
2200 43CB 43A1 D68A 543D 2981, -66, 6.1850105367549055, 920.4, 1, 2022/12/19 19:31:35
2020 43CB 43A1 E88A 543D 29C9, -60.5, 4.896466674930966, 920.4, 1, 2022/12/19 19:31:35
2020 43CB 43A1 E88A 543D 29C9, -60, 3.043417883165112, 920.4, 4, 2022/12/19 19:31:35
2020 43CB 43A1 E78A 543D 29C5, -58, 5.66959299202533, 920.4, 1, 2022/12/19 19:31:35
2020 43CB 43A1 E78A 543D 29C5, -71.5, 3.773592738198677, 920.4, 4, 2022/12/19 19:31:36
2020 43CB 43A1 E78A 543D 29C5, -61.5, 1.6321555583103222, 920.4, 6, 2022/12/19 19:31:36
9990 1912 9990 9990 9990 0131, -60, 5.0682725231741586, 920.4, 1, 2022/12/19 19:31:35
9990 1912 9990 9990 9990 0131, -60, 0.4356505437595221, 920.4, 6, 2022/12/19 19:31:36
E200 470F 45D0 6023 A129 010E, -62.5, 3.031146036862027, 920.4, 1, 2022/12/19 19:31:35
E200 470F 45D0 6023 A129 010E, -55, 0.8713010875190442, 920.4, 4, 2022/12/19 19:31:36
2020 43CB 43A2 198A 543D 2A8D, -52.5, 5.387340527054372, 920.4, 1, 2022/12/19 19:31:35
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.4111068511533518, 920.4, 4, 2022/12/19 19:31:36
5538 0000 4180 0400 0034 000B, -70, 4.528311285838413, 920.4, 6, 2022/12/19 19:31:38
9990 1912 9990 9990 9990 0137, -66.5, 3.184544115650591, 920.4, 6, 2022/12/19 19:31:38
9990 1912 9990 9990 9990 0125, -59, 0.7485826244881929, 920.4, 6, 2022/12/19 19:31:38
2200 4444 B4D0 6014 04E6 3739, -63.5, 1.846912868614312, 920.4, 4, 2022/12/19 19:31:37
7B49, -71, 0.7669903939428205, 920.4, 4, 2022/12/19 19:31:37
9990 1912 9990 9990 9990 0107, -57.5, 6.215690152512618, 920.4, 4, 2022/12/19 19:31:38
5538 0000 4180 0400 0034 0007, -66, 2.9820586516496865, 920.4, 4, 2022/12/19 19:31:37
5598 0000 4004 0004 000C 0001, -56, 5.178719139901925, 920.4, 4, 2022/12/19 19:31:37
2200 0000 42C4 0644 0010 0001, -58, 2.1046216409791, 920.4, 4, 2022/12/19 19:31:37
2200 43CB 43A1 DF8A 543D 29A5, -58.5, 4.147884050442774, 920.4, 4, 2022/12/19 19:31:38
2200 4444 A450 6014 04E6 3731, -58.5, 0.4111068511533518, 920.4, 4, 2022/12/19 19:31:37
2200 4444 A450 6014 04E6 3731, -62.5, 3.1906800388021335, 920.4, 6, 2022/12/19 19:31:38
9990 1912 9990 9990 9990 0113, -63.5, 6.178874613603362, 920.4, 4, 2022/12/19 19:31:38
E200 4710 6990 6026 B9C9 0110, -64.5, 0.4049709280018093, 920.4, 1, 2022/12/19 19:31:37
2200 43CB 43A1 E98A 543D 29CD, -70, 5.2339424482658075, 920.4, 1, 2022/12/19 19:31:37
2020 43CB 43A1 E38A 543D 29B5, -67.5, 6.111379458936394, 920.4, 1, 2022/12/19 19:31:37
2020 43CB 43A1 E38A 543D 29B5, -67, 5.424156065963627, 920.4, 4, 2022/12/19 19:31:37
2020 43CB 43A1 E78A 543D 29C5, -58.5, 5.6143696836614465, 920.4, 1, 2022/12/19 19:31:37
2020 43CB 43A1 E78A 543D 29C5, -71.5, 3.736777199289422, 920.4, 4, 2022/12/19 19:31:37
2020 43CB 43A1 E78A 543D 29C5, -61, 1.6444274046134073, 920.4, 6, 2022/12/19 19:31:38
2020 43CB 43A2 198A 543D 2A8D, -52.5, 5.356660911296659, 920.4, 1, 2022/12/19 19:31:37
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.4295146206079795, 920.4, 4, 2022/12/19 19:31:37
2200 43CB 43A1 CD8A 543D 295D, -62.5, 5.565282298449106, 920.4, 1, 2022/12/19 19:31:37
2200 43CB 43A1 E48A 543D 29B9, -65, 1.0246991663076084, 920.4, 1, 2022/12/19 19:31:37
E200 470F 45D0 6023 A129 010E, -65, 4.184699589352029, 920.4, 1, 2022/12/19 19:31:37
E200 470F 45D0 6023 A129 010E, -57.5, 1.1474176293384597, 920.4, 4, 2022/12/19 19:31:37
2200 43CB 43A1 D68A 543D 2981, -65, 0.030679615757712823, 920.4, 1, 2022/12/19 19:31:37
9990 1912 9990 9990 9990 0131, -60, 4.970097752749477, 920.4, 1, 2022/12/19 19:31:37
9990 1912 9990 9990 9990 0131, -61.5, 0.47860200582032003, 920.4, 6, 2022/12/19 19:31:38
2020 43CB 43A1 E88A 543D 29C9, -60, 4.9823695990525625, 920.4, 1, 2022/12/19 19:31:37
2020 43CB 43A1 E88A 543D 29C9, -60, 0.05522330836388308, 920.4, 4, 2022/12/19 19:31:38
5538 0000 4180 0400 0034 000B, -70, 4.454680208019902, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0137, -65.5, 2.9697868053466014, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0125, -59, 0.7485826244881929, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0113, -66.5, 6.129787228391022, 920.4, 4, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0107, -59, 6.2463697682703305, 920.4, 4, 2022/12/19 19:31:39
7B49, -72, 0.803805932852076, 920.4, 4, 2022/12/19 19:31:40
5538 0000 4180 0400 0034 0007, -66, 2.8532042654672924, 920.4, 4, 2022/12/19 19:31:40
