Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -53, 6.166602767300278, 920.4, 2, 0
E200 470F C1A0 6023 A8E6 010F, -54.5, 0, 920.4, 2, 1
E200 470F C1A0 6023 A8E6 010F, -54.5, 0.01227184630308513, 920.4, 2, 2
E200 470F C1A0 6023 A8E6 010F, -54, 6.0991076126333095, 920.4, 2, 3
E200 470F C1A0 6023 A8E6 010F, -54.5, 0.02454369260617026, 920.4, 2, 4
E200 470F C1A0 6023 A8E6 010F, -54.5, 0.0674951546669682, 920.4, 2, 5
E200 470F C1A0 6023 A8E6 010F, -54, 6.19728238305799, 920.4, 2, 6
E200 470F C1A0 6023 A8E6 010F, -54, 6.086835766330224, 920.4, 2, 7
E200 470F C1A0 6023 A8E6 010F, -53, 6.14819499784565, 920.4, 2, 8
E200 470F C1A0 6023 A8E6 010F, -53.5, 0.1227184630308513, 920.4, 2, 9
E200 470F C1A0 6023 A8E6 010F, -54, 6.22182607566416, 920.4, 2, 10
E200 470F C1A0 6023 A8E6 010F, -53.5, 0.09203884727313846, 920.4, 2, 11
E200 470F C1A0 6023 A8E6 010F, -53, 0.1902136176978195, 920.4, 2, 12
E200 470F C1A0 6023 A8E6 010F, -53, 0.09817477042468103, 920.4, 2, 13
E200 470F C1A0 6023 A8E6 010F, -53, 6.258641614573416, 920.4, 2, 14
E200 470F C1A0 6023 A8E6 010F, -52.5, 0.14726215563702155, 920.4, 2, 15
E200 470F C1A0 6023 A8E6 010F, -53, 0.2454369260617026, 920.4, 2, 16
E200 470F C1A0 6023 A8E6 010F, -53.5, 0.0674951546669682, 920.4, 2, 17
E200 470F C1A0 6023 A8E6 010F, -53, 0.030679615757712823, 920.4, 2, 18
E200 470F C1A0 6023 A8E6 010F, -53.5, 0.20248546400090464, 920.4, 2, 19
E200 470F C1A0 6023 A8E6 010F, -52.5, 0.17794177139473438, 920.4, 2, 20
E200 470F C1A0 6023 A8E6 010F, -53, 0.01227184630308513, 920.4, 2, 21
E200 470F C1A0 6023 A8E6 010F, -53, 0.04295146206079795, 920.4, 2, 22
E200 470F C1A0 6023 A8E6 010F, -53, 0.1595340019401067, 920.4, 2, 23
E200 470F C1A0 6023 A8E6 010F, -53.5, 0.09203884727313846, 920.4, 2, 24
E200 470F C1A0 6023 A8E6 010F, -53.5, 6.252505691421874, 920.4, 2, 25
E200 470F C1A0 6023 A8E6 010F, -53.5, 6.270913460876501, 920.4, 2, 26
