Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -48, 0.36815538909255385, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5281558121369745, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -47.5, 0.3620194659410113, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5772431973493153, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -48, 0.3374757733348411, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -48, 3.552699504743145, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -47.5, 0.37429131224409645, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5342917352885173, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -48, 0.36815538909255385, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.522019888985432, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -48, 0.37429131224409645, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5588354278946874, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -48, 0.35588354278946877, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5281558121369745, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -48, 0.37429131224409645, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -47, 3.5342917352885173, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -47.5, 0.4479223900626072, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5036121195308043, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -47.5, 0.35588354278946877, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -47.5, 3.5588354278946874, 920.4, 6, 9
