Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.092971689481767, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -46, 3.663146121470911, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -49, 6.1420590746941075, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -46, 3.6017868899554855, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.166602767300278, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.6324665057131984, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -49, 6.1420590746941075, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.7122335066832517, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.14819499784565, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.6692820446224537, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -49, 6.129787228391022, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -47, 3.6570101983193686, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.19728238305799, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.6447383520162835, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.166602767300278, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.6263305825616556, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.1420590746941075, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.6447383520162835, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.19728238305799, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -46, 3.6447383520162835, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -48.5, 6.191146459906448, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -46.5, 3.6263305825616556, 920.4, 6, 10
