Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -48, 3.9822141253511245, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -58, 0.1227184630308513, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9638063558964967, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -58.5, 0.1902136176978195, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9208548938356986, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -59, 0.02454369260617026, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9208548938356986, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -59, 0.04295146206079795, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.988350048502667, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -59, 0.0674951546669682, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9269908169872414, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -59, 0.14726215563702155, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9576704327449543, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -59, 0.17794177139473438, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.933126740138784, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -59, 0.23930100291016002, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9638063558964967, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -59, 0.01227184630308513, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.9147189706841563, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -59, 0.12885438618239387, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -48.5, 3.890175278077986, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -59, 0.02454369260617026, 920.4, 6, 10
