Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C190 6023 A8E5 010E, -65, 2.773437264497239, 920.4, 1, 0
E200 470F C190 6023 A8E5 010E, -58.5, 0.0674951546669682, 920.4, 2, 0
E200 470F C190 6023 A8E5 010E, -60, 6.1420590746941075, 920.4, 3, 0
E200 470F C190 6023 A8E5 010E, -69.5, 6.062292073724054, 920.4, 4, 0
E200 470F C190 6023 A8E5 010E, -65.5, 2.945243112740431, 920.4, 1, 1
E200 470F C190 6023 A8E5 010E, -58.5, 0.11658253987930872, 920.4, 2, 1
E200 470F C190 6023 A8E5 010E, -59.5, 6.178874613603362, 920.4, 3, 1
E200 470F C190 6023 A8E5 010E, -70, 6.10217557420908, 920.4, 4, 1
E200 470F C190 6023 A8E5 010E, -66, 2.761165418194154, 920.4, 1, 2
E200 470F C190 6023 A8E5 010E, -59, 0.030679615757712823, 920.4, 2, 2
E200 470F C190 6023 A8E5 010E, -59, 6.160466844148735, 920.4, 3, 2
E200 470F C190 6023 A8E5 010E, -69.5, 6.059224112148283, 920.4, 4, 2
E200 470F C190 6023 A8E5 010E, -65.5, 2.9697868053466014, 920.4, 1, 3
E200 470F C190 6023 A8E5 010E, -58.5, 0.09203884727313846, 920.4, 2, 3
E200 470F C190 6023 A8E5 010E, -60, 6.215690152512618, 920.4, 3, 3
E200 470F C190 6023 A8E5 010E, -70.5, 6.071495958451368, 920.4, 4, 3
E200 470F C190 6023 A8E5 010E, -65, 2.6323110320117604, 920.4, 1, 4
E200 470F C190 6023 A8E5 010E, -58.5, 0.0674951546669682, 920.4, 2, 4
E200 470F C190 6023 A8E5 010E, -59, 6.0991076126333095, 920.4, 3, 4
E200 470F C190 6023 A8E5 010E, -69, 5.964117303299373, 920.4, 4, 4
E200 470F C190 6023 A8E5 010E, -66, 2.718213956133356, 920.4, 1, 5
E200 470F C190 6023 A8E5 010E, -58.5, 6.277049384028044, 920.4, 2, 5
E200 470F C190 6023 A8E5 010E, -59, 6.209554229361076, 920.4, 3, 5
E200 470F C190 6023 A8E5 010E, -68.5, 6.031612457966341, 920.4, 4, 5
E200 470F C190 6023 A8E5 010E, -65.5, 2.718213956133356, 920.4, 1, 6
E200 470F C190 6023 A8E5 010E, -58.5, 6.264777537724958, 920.4, 2, 6
E200 470F C190 6023 A8E5 010E, -58.5, 6.129787228391022, 920.4, 3, 6
E200 470F C190 6023 A8E5 010E, -69, 5.890486225480862, 920.4, 4, 6
