Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C190 6023 A8E5 010E, -53, 1.2578642460662257, 920.4, 1, 0
E200 470F C190 6023 A8E5 010E, -52.5, 3.988350048502667, 920.4, 2, 0
E200 470F C190 6023 A8E5 010E, -63, 0.3620194659410113, 920.4, 3, 0
E200 470F C190 6023 A8E5 010E, -68, 2.110757564130642, 920.4, 4, 0
E200 470F C190 6023 A8E5 010E, -53, 1.2517283229146832, 920.4, 1, 1
E200 470F C190 6023 A8E5 010E, -52.5, 4.025165587411922, 920.4, 2, 1
E200 470F C190 6023 A8E5 010E, -63.5, 0.44178646691106466, 920.4, 3, 1
E200 470F C190 6023 A8E5 010E, -67.5, 2.172116795646068, 920.4, 4, 1
E200 470F C190 6023 A8E5 010E, -54, 1.2455923997631406, 920.4, 1, 2
E200 470F C190 6023 A8E5 010E, -52.5, 4.049709280018092, 920.4, 2, 2
E200 470F C190 6023 A8E5 010E, -64, 0.4479223900626072, 920.4, 3, 2
E200 470F C190 6023 A8E5 010E, -68, 2.2396119503130363, 920.4, 4, 2
E200 470F C190 6023 A8E5 010E, -53.5, 1.2640001692177683, 920.4, 1, 3
E200 470F C190 6023 A8E5 010E, -52.5, 4.000621894805752, 920.4, 2, 3
E200 470F C190 6023 A8E5 010E, -63.5, 0.48473792897186263, 920.4, 3, 3
E200 470F C190 6023 A8E5 010E, -68, 2.3623304133438876, 920.4, 4, 3
E200 470F C190 6023 A8E5 010E, -53.5, 1.239456476611598, 920.4, 1, 4
E200 470F C190 6023 A8E5 010E, -52.5, 4.0128937411088375, 920.4, 2, 4
E200 470F C190 6023 A8E5 010E, -63.5, 0.30679615757712825, 920.4, 3, 4
E200 470F C190 6023 A8E5 010E, -69.5, 5.402680334933228, 920.4, 4, 4
E200 470F C190 6023 A8E5 010E, -53, 1.2087768608538851, 920.4, 1, 5
E200 470F C190 6023 A8E5 010E, -52, 4.135612204139688, 920.4, 2, 5
E200 470F C190 6023 A8E5 010E, -62.5, 0.4663301595172349, 920.4, 3, 5
E200 470F C190 6023 A8E5 010E, -66.5, 2.12916533358527, 920.4, 4, 5
E200 470F C190 6023 A8E5 010E, -53.5, 1.2333205534600555, 920.4, 1, 6
E200 470F C190 6023 A8E5 010E, -53, 3.9515345095934116, 920.4, 2, 6
E200 470F C190 6023 A8E5 010E, -63, 0.3988350048502667, 920.4, 3, 6
E200 470F C190 6023 A8E5 010E, -68.5, 2.4605051837685683, 920.4, 4, 6
E200 470F C190 6023 A8E5 010E, -53.5, 1.184233168247715, 920.4, 1, 7
E200 470F C190 6023 A8E5 010E, -53, 3.9576704327449543, 920.4, 2, 7
E200 470F C190 6023 A8E5 010E, -63, 0.48473792897186263, 920.4, 3, 7
E200 470F C190 6023 A8E5 010E, -67.5, 2.2764274892222915, 920.4, 4, 7
E200 470F C190 6023 A8E5 010E, -53.5, 1.2026409377023426, 920.4, 1, 8
E200 470F C190 6023 A8E5 010E, -53, 3.9576704327449543, 920.4, 2, 8
E200 470F C190 6023 A8E5 010E, -63.5, 0.42337869745643697, 920.4, 3, 8
E200 470F C190 6023 A8E5 010E, -68.5, 5.421088104387856, 920.4, 4, 8
E200 470F C190 6023 A8E5 010E, -54, 1.214912784005428, 920.4, 1, 9
E200 470F C190 6023 A8E5 010E, -53, 3.988350048502667, 920.4, 2, 9
E200 470F C190 6023 A8E5 010E, -63, 0.5338253141842031, 920.4, 3, 9
E200 470F C190 6023 A8E5 010E, -68.5, 2.3623304133438876, 920.4, 4, 9
E200 470F C190 6023 A8E5 010E, -54, 1.2210487071569704, 920.4, 1, 10
E200 470F C190 6023 A8E5 010E, -52.5, 3.9760782021995817, 920.4, 2, 10
E200 470F C190 6023 A8E5 010E, -64, 0.37429131224409645, 920.4, 3, 10
E200 470F C190 6023 A8E5 010E, -69, 5.3842725654786, 920.4, 4, 10
