Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C190 6023 A8E5 010E, -60.5, 1.1474176293384597, 920.4, 1, 0
E200 470F C190 6023 A8E5 010E, -64, 2.705942109830271, 920.4, 2, 0
E200 470F C190 6023 A8E5 010E, -56, 1.4542137869155878, 920.4, 3, 0
E200 470F C190 6023 A8E5 010E, -60, 1.736466251886546, 920.4, 4, 0
E200 470F C190 6023 A8E5 010E, -61.5, 0.9142525495798421, 920.4, 1, 1
E200 470F C190 6023 A8E5 010E, -66, 3.018874190558942, 920.4, 2, 1
E200 470F C190 6023 A8E5 010E, -57, 1.325359400733194, 920.4, 3, 1
E200 470F C190 6023 A8E5 010E, -60.5, 1.6873788666742053, 920.4, 4, 1
E200 470F C190 6023 A8E5 010E, -61.5, 1.1658253987930873, 920.4, 1, 2
E200 470F C190 6023 A8E5 010E, -65.5, 3.117048960983623, 920.4, 2, 2
E200 470F C190 6023 A8E5 010E, -57.5, 1.5278448647340985, 920.4, 3, 2
E200 470F C190 6023 A8E5 010E, -60, 1.7671458676442586, 920.4, 4, 2
E200 470F C190 6023 A8E5 010E, -61, 1.141281706186917, 920.4, 1, 3
E200 470F C190 6023 A8E5 010E, -65.5, 3.098641191528995, 920.4, 2, 3
E200 470F C190 6023 A8E5 010E, -57, 1.4726215563702154, 920.4, 3, 3
E200 470F C190 6023 A8E5 010E, -60, 1.6873788666742053, 920.4, 4, 3
E200 470F C190 6023 A8E5 010E, -61, 0.9203884727313847, 920.4, 1, 4
E200 470F C190 6023 A8E5 010E, -65, 2.8777479580734626, 920.4, 2, 4
E200 470F C190 6023 A8E5 010E, -56.5, 1.3314953238847365, 920.4, 3, 4
E200 470F C190 6023 A8E5 010E, -60.5, 1.6382914814618648, 920.4, 4, 4
E200 470F C190 6023 A8E5 010E, -61.5, 0.8651651643675016, 920.4, 1, 5
E200 470F C190 6023 A8E5 010E, -65, 3.442252888015379, 920.4, 2, 5
E200 470F C190 6023 A8E5 010E, -57, 1.282407938672396, 920.4, 3, 5
E200 470F C190 6023 A8E5 010E, -61, 1.7978254834019713, 920.4, 4, 5
E200 470F C190 6023 A8E5 010E, -61, 1.1044661672776617, 920.4, 1, 6
E200 470F C190 6023 A8E5 010E, -64, 2.890019804376548, 920.4, 2, 6
E200 470F C190 6023 A8E5 010E, -56.5, 1.325359400733194, 920.4, 3, 6
E200 470F C190 6023 A8E5 010E, -60.5, 1.6444274046134073, 920.4, 4, 6
E200 470F C190 6023 A8E5 010E, -61, 1.0921943209745766, 920.4, 1, 7
E200 470F C190 6023 A8E5 010E, -64, 2.859340188618835, 920.4, 2, 7
E200 470F C190 6023 A8E5 010E, -56.5, 1.2640001692177683, 920.4, 3, 7
E200 470F C190 6023 A8E5 010E, -60.5, 1.7855536370988863, 920.4, 4, 7
E200 470F C190 6023 A8E5 010E, -61, 1.0615147052168636, 920.4, 1, 8
E200 470F C190 6023 A8E5 010E, -64.5, 2.748893571891069, 920.4, 2, 8
E200 470F C190 6023 A8E5 010E, -56, 1.3130875544301088, 920.4, 3, 8
E200 470F C190 6023 A8E5 010E, -61, 1.6996507129772904, 920.4, 4, 8
E200 470F C190 6023 A8E5 010E, -61.5, 1.0799224746714913, 920.4, 1, 9
E200 470F C190 6023 A8E5 010E, -65, 2.8532042654672924, 920.4, 2, 9
E200 470F C190 6023 A8E5 010E, -56.5, 1.2333205534600555, 920.4, 3, 9
E200 470F C190 6023 A8E5 010E, -61, 1.6935147898257479, 920.4, 4, 9
E200 470F C190 6023 A8E5 010E, -61.5, 0.9878836273983529, 920.4, 1, 10
E200 470F C190 6023 A8E5 010E, -64.5, 2.7979809571034093, 920.4, 2, 10
E200 470F C190 6023 A8E5 010E, -56.5, 1.337631247036279, 920.4, 3, 10
E200 470F C190 6023 A8E5 010E, -60.5, 1.7303303287350031, 920.4, 4, 10
E200 470F C190 6023 A8E5 010E, -62, 1.0492428589137786, 920.4, 1, 11
E200 470F C190 6023 A8E5 010E, -64.5, 2.9329712664373457, 920.4, 2, 11
E200 470F C190 6023 A8E5 010E, -56.5, 1.2578642460662257, 920.4, 3, 11
E200 470F C190 6023 A8E5 010E, -60.5, 1.7303303287350031, 920.4, 4, 11
E200 470F C190 6023 A8E5 010E, -61.5, 1.0185632431560658, 920.4, 1, 12
E200 470F C190 6023 A8E5 010E, -64.5, 2.773437264497239, 920.4, 2, 12
E200 470F C190 6023 A8E5 010E, -56.5, 1.2762720155208536, 920.4, 3, 12
E200 470F C190 6023 A8E5 010E, -60, 1.7978254834019713, 920.4, 4, 12
E200 470F C190 6023 A8E5 010E, -61.5, 0.9633399347921826, 920.4, 1, 13
E200 470F C190 6023 A8E5 010E, -64, 2.736621725587984, 920.4, 2, 13
E200 470F C190 6023 A8E5 010E, -56.5, 1.282407938672396, 920.4, 3, 13
E200 470F C190 6023 A8E5 010E, -60, 1.7794177139473437, 920.4, 4, 13
E200 470F C190 6023 A8E5 010E, -61, 1.0492428589137786, 920.4, 1, 14
