Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.362641360746763, 920.4, 1, 0
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3499030933393643, 920.4, 2, 0
E200 470F C1C0 6023 A8E8 010E, -59, 3.227495577711389, 920.4, 3, 0
E200 470F C1C0 6023 A8E8 010E, -52, 1.8775924843720249, 920.4, 4, 0
E200 470F C1C0 6023 A8E8 010E, -58, 4.374913207049849, 920.4, 1, 1
E200 470F C1C0 6023 A8E8 010E, -62, 1.380582709097077, 920.4, 2, 1
E200 470F C1C0 6023 A8E8 010E, -59.5, 3.2029518851052186, 920.4, 3, 1
E200 470F C1C0 6023 A8E8 010E, -52, 1.8775924843720249, 920.4, 4, 1
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.473087977474529, 920.4, 1, 2
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3867186322486196, 920.4, 2, 2
E200 470F C1C0 6023 A8E8 010E, -59.5, 3.2029518851052186, 920.4, 3, 2
E200 470F C1C0 6023 A8E8 010E, -52, 1.88986433067511, 920.4, 4, 2
E200 470F C1C0 6023 A8E8 010E, -58, 4.387185053352934, 920.4, 1, 3
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3989904785517047, 920.4, 2, 3
E200 470F C1C0 6023 A8E8 010E, -60, 3.1784081924990484, 920.4, 3, 3
E200 470F C1C0 6023 A8E8 010E, -52, 1.8530487917658545, 920.4, 4, 3
E200 470F C1C0 6023 A8E8 010E, -58, 4.417864669110647, 920.4, 1, 4
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3008157081270237, 920.4, 2, 4
E200 470F C1C0 6023 A8E8 010E, -59, 3.1968159619536762, 920.4, 3, 4
E200 470F C1C0 6023 A8E8 010E, -52, 1.8653206380689396, 920.4, 4, 4
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.3933209765044765, 920.4, 1, 5
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.4173982480063325, 920.4, 2, 5
E200 470F C1C0 6023 A8E8 010E, -59.5, 3.227495577711389, 920.4, 3, 5
E200 470F C1C0 6023 A8E8 010E, -52, 1.8714565612204823, 920.4, 4, 5
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.430136515413731, 920.4, 1, 6
E200 470F C1C0 6023 A8E8 010E, -63, 1.4419419406125027, 920.4, 2, 6
E200 470F C1C0 6023 A8E8 010E, -59.5, 3.2397674240144743, 920.4, 3, 6
E200 470F C1C0 6023 A8E8 010E, -52, 1.859184714917397, 920.4, 4, 6
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.387185053352934, 920.4, 1, 7
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.325359400733194, 920.4, 2, 7
E200 470F C1C0 6023 A8E8 010E, -60, 3.129320807286708, 920.4, 3, 7
E200 470F C1C0 6023 A8E8 010E, -52, 1.8775924843720249, 920.4, 4, 7
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.405592822807561, 920.4, 1, 8
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3130875544301088, 920.4, 2, 8
E200 470F C1C0 6023 A8E8 010E, -60, 3.1906800388021335, 920.4, 3, 8
E200 470F C1C0 6023 A8E8 010E, -52, 1.8530487917658545, 920.4, 4, 8
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.411728745959104, 920.4, 1, 9
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3989904785517047, 920.4, 2, 9
E200 470F C1C0 6023 A8E8 010E, -59.5, 3.2213596545598464, 920.4, 3, 9
E200 470F C1C0 6023 A8E8 010E, -52, 1.859184714917397, 920.4, 4, 9
E200 470F C1C0 6023 A8E8 010E, -57.5, 4.387185053352934, 920.4, 1, 10
E200 470F C1C0 6023 A8E8 010E, -62.5, 1.3928545554001621, 920.4, 2, 10
E200 470F C1C0 6023 A8E8 010E, -60.5, 3.160000423044421, 920.4, 3, 10
E200 470F C1C0 6023 A8E8 010E, -52, 1.8653206380689396, 920.4, 4, 10
