Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.957981380147831, 920.4, 1, 0
E200 470F C1B0 6023 A8E7 010D, -56.5, 2.9022916506796332, 920.4, 2, 0
E200 470F C1B0 6023 A8E7 010D, -64, 4.865787059173254, 920.4, 3, 0
E200 470F C1B0 6023 A8E7 010D, -65.5, 3.902447124381071, 920.4, 4, 0
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.970253226450915, 920.4, 1, 1
E200 470F C1B0 6023 A8E7 010D, -57, 2.9145634969827183, 920.4, 2, 1
E200 470F C1B0 6023 A8E7 010D, -63, 5.098952138931871, 920.4, 3, 1
E200 470F C1B0 6023 A8E7 010D, -65, 3.834951969714103, 920.4, 4, 1
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.896622148632405, 920.4, 1, 2
E200 470F C1B0 6023 A8E7 010D, -57, 2.9022916506796332, 920.4, 2, 2
E200 470F C1B0 6023 A8E7 010D, -63.5, 4.988505522204105, 920.4, 3, 2
E200 470F C1B0 6023 A8E7 010D, -65.5, 3.8410878928656453, 920.4, 4, 2
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.976389149602458, 920.4, 1, 3
E200 470F C1B0 6023 A8E7 010D, -57, 2.8716120349219203, 920.4, 2, 3
E200 470F C1B0 6023 A8E7 010D, -63, 4.700117134081604, 920.4, 3, 3
E200 470F C1B0 6023 A8E7 010D, -65.5, 3.7429131224409646, 920.4, 4, 3
E200 470F C1B0 6023 A8E7 010D, -57, 5.988660995905543, 920.4, 1, 4
E200 470F C1B0 6023 A8E7 010D, -57, 2.945243112740431, 920.4, 2, 4
E200 470F C1B0 6023 A8E7 010D, -63, 4.970097752749477, 920.4, 3, 4
E200 470F C1B0 6023 A8E7 010D, -65.5, 3.8410878928656453, 920.4, 4, 4
E200 470F C1B0 6023 A8E7 010D, -57, 5.957981380147831, 920.4, 1, 5
E200 470F C1B0 6023 A8E7 010D, -56.5, 2.8654761117703775, 920.4, 2, 5
E200 470F C1B0 6023 A8E7 010D, -63.5, 4.859651136021712, 920.4, 3, 5
E200 470F C1B0 6023 A8E7 010D, -64.5, 3.816544200259475, 920.4, 4, 5
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.921165841238575, 920.4, 1, 6
E200 470F C1B0 6023 A8E7 010D, -57, 2.9206994201342606, 920.4, 2, 6
E200 470F C1B0 6023 A8E7 010D, -63.5, 4.767612288748572, 920.4, 3, 6
E200 470F C1B0 6023 A8E7 010D, -65, 3.736777199289422, 920.4, 4, 6
E200 470F C1B0 6023 A8E7 010D, -56.5, 6.007068765360171, 920.4, 1, 7
E200 470F C1B0 6023 A8E7 010D, -57, 2.890019804376548, 920.4, 2, 7
E200 470F C1B0 6023 A8E7 010D, -63, 4.97623367590102, 920.4, 3, 7
E200 470F C1B0 6023 A8E7 010D, -65, 3.877903431774901, 920.4, 4, 7
E200 470F C1B0 6023 A8E7 010D, -57, 6.031612457966341, 920.4, 1, 8
E200 470F C1B0 6023 A8E7 010D, -57, 2.9513790358919736, 920.4, 2, 8
E200 470F C1B0 6023 A8E7 010D, -63.5, 5.043728830567988, 920.4, 3, 8
E200 470F C1B0 6023 A8E7 010D, -65.5, 3.706097583531709, 920.4, 4, 8
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.982525072754001, 920.4, 1, 9
E200 470F C1B0 6023 A8E7 010D, -57, 2.9084275738311756, 920.4, 2, 9
E200 470F C1B0 6023 A8E7 010D, -63.5, 4.804427827657828, 920.4, 3, 9
E200 470F C1B0 6023 A8E7 010D, -66, 3.650874275167826, 920.4, 4, 9
E200 470F C1B0 6023 A8E7 010D, -57, 5.970253226450915, 920.4, 1, 10
E200 470F C1B0 6023 A8E7 010D, -56.5, 2.8961557275280905, 920.4, 2, 10
E200 470F C1B0 6023 A8E7 010D, -63.5, 4.994641445355648, 920.4, 3, 10
E200 470F C1B0 6023 A8E7 010D, -65.5, 3.7122335066832517, 920.4, 4, 10
