Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
9970 0001 0002 0003 0004 0005, -72.5, 6.025476534814799, 920.4, 2, 0
5538 0000 4040 0400 0034 0000, -65.5, 2.3071071049800045, 920.4, 3, 0
5538 0000 4040 0480 0034 0000, -60, 2.6261751088602177, 920.4, 4, 0
5538 0000 4040 8400 000C 0004, -67, 2.043262409463674, 920.4, 1, 0
9970 0001 0002 0003 0004 0005, -72.5, 6.000932842208628, 920.4, 2, 1
9970 0001 0002 0003 0004 0005, -74, 4.914874444385594, 920.4, 4, 1
5538 0000 4040 0400 0034 0000, -68, 5.283029833478148, 920.4, 3, 1
5538 0000 4040 8400 000C 0004, -67, 5.197126909356553, 920.4, 1, 1
9970 0001 0002 0003 0004 0005, -72, 6.086835766330224, 920.4, 2, 2
5538 0000 4040 0400 0034 0000, -65.5, 2.1659808724945253, 920.4, 3, 2
5538 0000 4040 0480 0034 0000, -60.5, 2.6568547246179306, 920.4, 4, 2
E200 470F C1B0 6023 A8E7 010D, -56.5, 5.939573610693203, 920.4, 1, 2
